id,product_id,brand,price,color,purchased,days_on_market
65795,612,samsung,141.32,gold,0,30
93662,474,samsung,130.99,white,1,25
115659,351,huawei,169.48,gold,0,30
92082,377,samsung,782.22,black,1,26
160724,22,apple,469.77,silver,1,14
151714,485,samsung,378.53,white,1,13
170649,493,samsung,230.34,blue,0,30
193874,421,samsung,246.45,blue,0,30
137619,420,samsung,246.52,black,0,30
194014,474,samsung,130.99,black,0,30
104462,11,apple,532.45,gold,0,30
85656,499,oppo,501.69,blue,0,30
179915,459,samsung,229.42,white,1,14
194068,269,apple,760.1,blue,0,30
171146,457,samsung,172.02,gold,0,30
124894,485,samsung,374.72,black,1,18
97946,461,oppo,179.9,white,1,22
176667,260,apple,766.76,blue,0,30
104686,420,samsung,246.73,silver,1,22
35273,260,apple,737.04,silver,1,0
177672,680,samsung,228.76,silver,1,12
40874,485,samsung,380.83,silver,1,1
25370,420,samsung,244.06,black,1,26
157081,420,samsung,250.82,silver,1,14
138523,456,samsung,170.79,white,1,23
131518,626,apple,975.56,silver,1,2
119621,573,xiaomi,185.85,black,0,30
58744,474,samsung,131.02,silver,1,7
118366,461,oppo,179.21,white,1,28
96547,420,samsung,246.52,white,1,23
107543,18,apple,473.37,gold,0,30
195691,406,xiaomi,191.77,blue,0,30
134572,626,apple,992.05,white,0,30
135571,260,apple,725.08,silver,1,26
65398,671,xiaomi,215.36,silver,1,25
107458,485,samsung,376.07,white,1,15
157499,457,samsung,173.22,silver,1,16
210217,420,samsung,246.78,black,0,30
40843,627,apple,1052.79,black,0,30
170,474,samsung,130.7,silver,1,0
131302,420,samsung,246.96,blue,0,30
165635,491,oppo,154.16,blue,0,30
129426,476,samsung,131.53,blue,0,30
149155,485,samsung,369.2,white,1,24
109714,370,samsung,794.59,silver,1,12
155464,420,samsung,251.47,blue,0,30
155859,456,samsung,174.06,gold,1,2
41578,626,apple,1003.85,silver,1,12
145308,412,samsung,196.8,blue,0,30
57403,11,apple,534.38,white,1,15
72553,412,samsung,195.47,silver,1,24
205494,474,samsung,131.51,white,1,22
107851,419,samsung,252.52,silver,1,4
93966,230,samsung,89.84,blue,1,4
136052,420,samsung,252.13,white,1,4
60065,617,apple,1424.93,gold,0,30
157004,248,apple,1093.85,blue,0,30
22846,612,samsung,141.32,white,1,22
29341,474,samsung,131.02,blue,0,30
105893,623,apple,1003.85,white,1,15
79932,645,apple,1894.48,blue,0,30
80846,377,samsung,858.83,blue,0,30
20752,482,samsung,286.22,white,1,17
73081,459,samsung,229.99,gold,1,13
35402,419,samsung,243.32,gold,0,30
177819,408,xiaomi,197.15,black,1,9
7960,420,samsung,253.03,white,1,1
13336,395,huawei,126.86,silver,1,18
214495,475,samsung,130.71,blue,0,30
101778,420,samsung,250.82,silver,1,13
92564,20,apple,464.06,gold,0,30
14338,410,huawei,126.64,white,1,20
35230,517,vivo,167.29,silver,1,0
939,185,xiaomi,167.0,gold,0,30
47705,24099,inoi,77.13,white,1,3
73016,419,samsung,250.39,blue,0,30
180050,482,samsung,289.52,gold,0,30
46087,66479,samsung,643.23,silver,1,25
91475,69,apple,1067.98,silver,1,23
187793,27,apple,358.57,gold,1,14
1777,458,samsung,224.96,gold,0,30
124284,531,oppo,179.28,white,1,4
88588,474,samsung,131.02,white,1,21
93129,671,xiaomi,226.16,silver,1,16
69174,626,apple,996.42,silver,1,21
112295,626,apple,962.7,blue,0,30
